1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1091,1092,1093,1094,1095,1096
30,37,33,31,27,28,27,33,25,30,25,33,1,40,35,30,22,37,27,37,20,43
40,33,27,19,43,40,43,37,15,40,33,27,33,30,33,40,37,33,43,16,11,27
12,8,18,0,8,20,12,16,16,14,14,20,31,10,20,18,15,12,18,33,19,18
4,16,5,10,0,0,7,1,24,6,14,6,18,18,0,1,10,16,2,3,14,4
0,0,18,23,4,2,10,0,2,8,0,10,14,1,6,10,8,1,4,4,12,7
8,4,0,4,10,6,0,0,1,2,0,0,4,0,0,0,0,0,1,8,0,0
0,0,0,2,1,0,2,2,0,0,0,0,0,0,1,0,0,2,6,0,0,2
6,1,0,12,0,5,0,0,18,0,14,1,0,0,4,0,2,0,0,0,25,0
1,2,0,0,8,0,0,12,0,0,1,4,0,0,2,2,7,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
